RTC,Pressure,Altitude,Temperature,X,Y,Z,SD
2,962,995,11,1,0,1,20
1,952,994,11,1,0,0,22
1,963,993,12,0,1,0,22
2,952,993,12,0,0,0,20
1,963,994,11,1,0,1,21
1,952,995,11,0,0,0,21
2,963,993,13,0,1,0,20
2,952,994,11,0,0,1,21
1,962,994,12,1,0,0,21
1,952,993,11,0,0,0,24
2,962,995,11,1,0,1,20
1,953,994,11,1,0,0,22
1,963,993,12,0,1,0,22
2,952,993,12,0,0,0,20
1,963,994,11,1,0,0,22
1,951,993,12,0,1,0,21
2,963,993,11,0,1,0,29
1,942,995,11,1,0,1,27
1,952,994,12,1,0,1,20
1,963,994,11,1,0,1,21
1,952,994,12,1,0,1,20
1,963,993,11,0,1,0,24
2,952,994,11,0,0,1,20
2,962,994,12,1,0,0,21
1,952,993,11,0,1,0,22
2,962,994,11,0,1,0,20
2,953,993,11,0,0,0,21
1,962,995,11,1,0,1,21
1,952,994,11,0,0,0,21
1,963,993,12,0,1,0,22
2,952,993,12,0,1,0,20
2,963,994,11,1,0,1,21
1,952,995,11,1,0,1,23
2,963,993,12,0,0,1,20
1,952,995,11,1,0,1,21
1,962,993,12,0,1,0,21
2,953,993,12,0,1,0,22
2,962,994,11,0,0,1,20
1,952,994,11,1,0,1,21
1,963,993,11,0,0,0,22
2,951,993,13,0,1,0,21
2,963,993,11,0,0,1,21
1,962,995,11,1,0,0,22
1,951,993,11,0,1,0,21
2,963,993,11,0,0,0,23
1,952,994,12,0,0,0,21
1,952,993,11,0,1,0,22
2,962,994,11,0,1,0,20
2,953,993,11,0,0,0,21
1,963,994,11,1,0,1,21
1,962,994,11,0,1,0,21
2,952,993,12,0,1,0,22
2,962,994,11,0,0,0,21
2,952,993,11,0,0,1,21
1,963,994,11,0,0,0,22
1,951,993,12,0,1,0,23
1,953,994,11,1,0,1,21
1,962,995,11,0,0,0,21
1,952,993,11,0,1,0,22
